Date,Open,High,Low,Close,Adj Close,Volume
8/9/2010,112.919998,113.18,112.32,112.989998,92.380859,120800400
8/10/2010,112.029999,112.980003,111.370003,112.379997,91.882111,242916300
8/11/2010,110.650002,110.690002,109.120003,109.300003,89.363914,273406900
8/12/2010,107.650002,109.019997,107.599998,108.629997,88.816093,239542600
8/13/2010,108.290001,108.959999,108.18,108.309998,88.554428,158698500
8/16/2010,107.57,108.610001,107.18,108.260002,88.513611,147895300
8/17/2010,109.190002,110.389999,108.879997,109.589996,89.600998,172270300
8/18/2010,109.540001,110.379997,108.910004,109.790001,89.764534,182922100
8/19/2010,109.220001,109.489998,107.43,107.879997,88.202911,265847600
8/20/2010,107.559998,107.940002,106.75,107.529999,87.916763,209714200
8/23/2010,108.040001,108.57,107.07,107.120003,87.58152,163490300
8/24/2010,105.949997,106.389999,104.970001,105.529999,86.281548,280677800
8/25/2010,104.949997,106.339996,104.290001,105.940002,86.61676,272234800
8/26/2010,106.440002,106.580002,104.879997,105.230003,86.03624,224439500
8/27/2010,105.889999,106.970001,104.309998,106.860001,87.368958,272649000
8/30/2010,106.580002,106.910004,105.300003,105.309998,86.101662,167238600
8/31/2010,104.919998,105.980003,104.489998,105.309998,86.101662,273933100
9/1/2010,106.730003,108.610001,106.660004,108.459999,88.677109,256828100
9/2/2010,108.720001,109.489998,108.489998,109.470001,89.502899,156112200
9/3/2010,110.540001,110.989998,109.949997,110.889999,90.663895,212197300
9/7/2010,110.370003,110.510002,109.550003,109.639999,89.641899,141973700
9/8/2010,109.860001,110.849998,109.809998,110.410004,90.271454,149924400
9/9/2010,111.650002,111.68,110.620003,110.919998,90.688423,147017900
9/10/2010,111.120003,111.610001,110.870003,111.480003,91.146294,127819000
9/13/2010,112.580002,112.949997,112.129997,112.720001,92.16008,178503500
9/14/2010,112.5,113.290001,112.080002,112.650002,92.102875,209823600
9/15/2010,112.32,113.209999,111.980003,113.080002,92.45443,168608400
9/16/2010,112.730003,113.120003,112.349998,113.050003,92.429909,199962900
9/17/2010,113.040001,113.150002,112.18,112.489998,92.464424,195836900
9/20/2010,112.879997,114.459999,112.519997,114.209999,93.878235,214555200
9/21/2010,114.300003,114.839996,113.510002,113.980003,93.689209,268389100
9/22/2010,113.800003,114.440002,113.099998,113.419998,93.228874,191322400
9/23/2010,112.489998,113.669998,112.18,112.5,92.472649,202354300
9/24/2010,113.75,114.900002,113.650002,114.82,94.379654,209671800
9/27/2010,114.860001,114.989998,114.160004,114.269997,93.927567,128761800
9/28/2010,114.419998,115.040001,113.18,114.669998,94.256348,209207500
9/29/2010,114.379997,114.910004,114.019997,114.470001,94.091949,179665800
9/30/2010,115.050003,115.790001,113.589996,114.129997,93.8125,287106700
10/1/2010,114.989998,115.120003,113.93,114.610001,94.207016,174638700
10/4/2010,114.370003,114.849998,113.18,113.75,93.500137,166153200
10/5/2010,114.800003,116.32,114.669998,116.040001,95.382454,229634100
10/6/2010,116.019997,116.330002,115.559998,116.029999,95.374229,148626600
