Ticker,Start Date,End Date,Pietroski F-Score,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,Quarterly Return
AA,2018-11-02,2019-02-26,7.00000,1.39581,1.22169,0.11270,0.8297297297297297
AA,2019-02-26,2019-05-09,6.00000,1.41624,1.15553,0.11306,0.7947882736156352
AA,2019-05-09,2019-07-31,4.00000,1.46771,1.25272,0.11300,0.9446721311475411
AA,2019-07-31,2019-10-31,4.00000,1.50849,1.23779,0.11760,0.9084598698481562
AA,2019-10-31,2020-02-21,3.00000,1.48391,1.28861,0.12311,0.7645654250238778
AA,2020-02-21,2020-04-29,3.00000,1.37729,1.48573,0.12303,0.5090568394753279
AAC,2016-11-08,2017-03-07,1.00000,2.40954,1.45377,0.49804,1.1791831357048748
AAC,2017-03-07,2017-05-04,1.00000,2.12781,1.48006,0.49261,0.9184357541899443
AAL,2012-07-18,2012-10-17,7.00000,0.79760,-3.75714,0.33851,0.8179871520342613
AAL,2012-10-17,2013-02-20,5.00000,0.76471,-4.24434,0.33573,1.2364746945898777
AAL,2013-02-20,2013-04-18,5.00000,0.78482,-3.94353,0.36304,1.1672547635850388
AAL,2013-04-18,2013-07-18,5.00000,0.75552,-3.84766,0.34827,1.1305925030229746
AAL,2013-07-18,2013-10-17,6.00000,0.90555,-4.19085,0.36928,1.1080213903743314
AAL,2013-10-17,2014-02-28,6.00000,1.01658,-4.38046,0.39459,1.7427606177606179
AAL,2014-02-28,2014-04-24,4.00000,1.03745,-16.48078,0.39735,1.0479091664358904
AAL,2014-04-24,2014-07-24,7.00000,1.00756,38.94247,0.38148,1.1231501057082451
AAL,2014-07-24,2014-10-23,7.00000,0.99191,9.96696,0.37330,0.8807058823529411
AAL,2014-10-23,2015-02-25,4.00000,0.96846,7.88614,0.38689,1.3705583756345177
AAL,2015-02-25,2015-04-24,6.00000,0.87660,20.38793,0.40995,1.0132553606237817
AAL,2015-04-24,2015-07-24,6.00000,0.99269,15.91534,0.40471,0.8272412466333205
AAL,2015-07-24,2015-10-23,6.00000,0.93779,12.16502,0.39262,1.0783720930232557
AAL,2015-10-23,2016-02-24,5.00000,0.96787,11.94923,0.42207,0.8630580116454606
AAL,2016-02-24,2016-04-22,5.00000,0.73392,7.59184,0.42468,0.9415292353823088
AAL,2016-04-22,2016-07-22,5.00000,0.70708,9.59639,0.43567,0.9673566878980893
